Ar,"1 day","1 day (2 VPSA)","2 days","4 days","5 days","1 day (sat.)","3 days",
2400,62.719999999999999,62.740000000000002,63.200000000000003,64.409999999999997,64.659999999999997,63.5,,
2448,,,,,,,64.409999999999997,
4800,86.120000000000005,86.140000000000001,86.650000000000006,87.730000000000004,88.280000000000001,87,,
4824,,,,,,,87.329999999999998,
6000,91.599999999999994,91.609999999999999,92.109999999999999,93.150000000000006,93.680000000000007,92.409999999999997,,
6048,,,,,,,92.790000000000006,
7200,94.969999999999999,94.969999999999999,95.420000000000002,96.269999999999996,96.629999999999995,95.400000000000006,95.859999999999999,
8400,96.939999999999998,97.030000000000001,97.239999999999995,97.730000000000004,97.909999999999997,,,
8424,,,,,,,97.530000000000001,
9600,98.079999999999998,98.239999999999995,98.239999999999995,98.450000000000003,98.519999999999996,,,
9648,,,,,,,98.390000000000001,
