Ar,"1 day","1 day (2 VPSA)","2 days","4 days","5 days","1 day (sat.)","3 days"
2400,1787.4704999999999,877.44864999999993,936.26387999999997,319.28479000000004,222.28697,1840,
2448,,,,,,,512
4800,701.58532000000002,351.81932999999998,390.52695999999997,171.88802000000001,140.40362000000002,722,
4824,,,,,,,240
6000,444.20081999999996,226.88466,259.56359000000003,134.18258,118.083,456,
6048,,,,,,,171
7200,284.43045000000001,149.12972000000002,177.28390000000002,108.93529000000001,102.16466,291,129
8400,184.95758000000001,100.57894999999999,125.03941,91.483452999999997,90.427187000000004,,
8424,,,,,,,100
9600,122.94977,70.105663000000007,91.766444000000007,79.352663000000007,81.773251000000002,,
9648,,,,,,,80
