Ar,"1 day","1 day (2 VPSA)",2 days,4 days,5 days,"1 day (sat.)",3 days
2400,29.230081999999999,29.285190000000004,28.920465999999998,28.207429999999999,27.829554999999999,28.600000000000001,
2448,,,,,,,27.997786000000005
4800,10.877765,10.895883999999999,10.488140999999999,9.6509874,9.2192270000000001,10.199999999999999,
4824,,,,,,,9.9664404999999991
6000,6.5800890000000001,6.5911673000000013,6.1975185000000002,5.3847535999999998,4.9673527000000002,5.9800000000000004,
6048,,,,,,,5.6642659000000002
7200,3.9447616999999999,3.9499246000000001,3.5977423000000002,2.9476075000000002,2.6677689999999998,3.6099999999999999,3.2595586000000001
8400,2.4025932000000001,2.3325711,2.1741267,1.8032948,1.6650634000000002,,
8424,,,,,,,1.9544438000000002
9600,1.5082722,1.3855177999999999,1.3919204999999999,1.2291399999999999,1.1802521000000001,,
9648,,,,,,,1.2791223
