"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
21670.746,101075.35,10.3500000000058
43270.746,101064.58,-0.419999999998254
64870.746,101089.23,24.2299999999959
86470.75,101079.31,14.3099999999977
108070.75,101088.87,23.8699999999953
129670.75,101070.37,5.36999999999534
151270.75,101055.5,-9.5
172870.75,101073.35,8.35000000000582
194470.75,101076.99,11.9900000000052
216070.75,101076.47,11.4700000000012
237670.75,101062.88,-2.11999999999534
259270.75,101080.65,15.6499999999942
280870.75,101048.53,-16.4700000000012
302470.75,101045.17,-19.8300000000017
324070.75,101059.4,-5.60000000000582
345670.75,101062.98,-2.02000000000407
367270.75,101062.21,-2.7899999999936
388870.75,101062.95,-2.05000000000291
410470.75,101070.46,5.4600000000064
432070.75,101056.3,-8.69999999999709
453670.75,101058.6,-6.39999999999418
475270.75,101064.98,-0.0200000000040745
496870.75,101063.03,-1.97000000000116
518470.75,101056.64,-8.36000000000058
540070.75,101065.67,0.669999999998254
561670.75,101044.66,-20.3399999999965
583270.75,101045.4,-19.6000000000058
604870.75,101054.41,-10.5899999999965
626470.75,101058.32,-6.67999999999302
648070.75,101043.67,-21.3300000000017
669670.75,101060.69,-4.30999999999767
691270.75,101047.8,-17.1999999999971
712870.75,101054.72,-10.2799999999988
734470.75,101067.4,2.39999999999418
756070.75,101040.28,-24.7200000000012
777670.75,101053.87,-11.1300000000047
799270.75,101046.63,-18.3699999999953
820870.75,101051.44,-13.5599999999977
842470.75,101038.25,-26.75
864070.75,101039.63,-25.3699999999953
885670.75,101056.63,-8.36999999999534
907270.75,101059.11,-5.88999999999942
928870.75,101048.1,-16.8999999999942
950470.75,101055.66,-9.33999999999651
972070.75,101051.53,-13.4700000000012
993670.75,101052.03,-12.9700000000012
1015270.8,101042.45,-22.5500000000029
1036870.8,101038.94,-26.0599999999977
1058470.8,101057.63,-7.36999999999534
1080070.8,101037.2,-27.8000000000029
1101670.8,101040.11,-24.8899999999994
1123270.8,101051.38,-13.6199999999953
1144870.8,101056.08,-8.91999999999825
1166470.8,101039.2,-25.8000000000029
1188070.8,101047.48,-17.5200000000041
1209670.8,101050.43,-14.570000000007
1231270.8,101048.42,-16.5800000000017
1252870.8,101041.8,-23.1999999999971
1274470.8,101061.7,-3.30000000000291
1296070.8,101046.81,-18.1900000000023
1317670.8,101058.96,-6.0399999999936
1339270.8,101036.87,-28.1300000000047
1360870.8,101042.35,-22.6499999999942
1382470.8,101044.8,-20.1999999999971
1404070.8,101044.46,-20.5399999999936
1425670.8,101041.49,-23.5099999999948
1447270.8,101036.09,-28.9100000000035
1468870.8,101059.18,-5.82000000000698
1490470.8,101049.44,-15.5599999999977
1512070.8,101037.7,-27.3000000000029
1533670.8,101054.88,-10.1199999999953
1555270.8,101039.62,-25.3800000000047
1576870.8,101053.51,-11.4900000000052
1598470.8,101050.49,-14.5099999999948
1620070.8,101046.2,-18.8000000000029
1641670.8,101055.92,-9.08000000000175
1663270.8,101064.41,-0.589999999996508
1684870.8,101041.17,-23.8300000000017
1706470.8,101047.55,-17.4499999999971
1728070.8,101052.96,-12.0399999999936
1749670.8,101057.45,-7.55000000000291
1771270.8,101061.09,-3.91000000000349
1792870.8,101063.95,-1.05000000000291
1814470.8,101035.43,-29.570000000007
1836070.8,101036.91,-28.0899999999965
1857670.8,101037.76,-27.2400000000052
