"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
21670.746,101075.44,10.4400000000023
43270.746,101068.28,3.27999999999884
64870.746,101064.36,-0.639999999999418
86470.75,101081.02,16.0200000000041
108070.75,101092.45,27.4499999999971
129670.75,101072.91,7.91000000000349
151270.75,101078.01,13.0099999999948
172870.75,101079.8,14.8000000000029
194470.75,101090.5,25.5
216070.75,101081.45,16.4499999999971
237670.75,101102.67,37.6699999999983
259270.75,101085.05,20.0500000000029
280870.75,101076.94,11.9400000000023
302470.75,101086.33,21.3300000000017
324070.75,101082.02,17.0200000000041
345670.75,101071.14,6.13999999999942
367270.75,101098.35,33.3500000000058
388870.75,101055.08,-9.91999999999825
410470.75,101099,34
432070.75,101083.34,18.3399999999965
453670.75,101088.52,23.5200000000041
475270.75,101043.6,-21.3999999999942
496870.75,101102.52,37.5200000000041
518470.75,101044.3,-20.6999999999971
540070.75,101059.16,-5.83999999999651
561670.75,101075.38,10.3800000000047
583270.75,101058.66,-6.33999999999651
604870.75,101085.91,20.9100000000035
626470.75,101085.31,20.3099999999977
648070.75,101059.17,-5.83000000000175
669670.75,101083.4,18.3999999999942
691270.75,101049.2,-15.8000000000029
712870.75,101068.95,3.94999999999709
734470.75,101070.41,5.41000000000349
756070.75,101055.06,-9.94000000000233
777670.75,101061.02,-3.97999999999593
799270.75,101052.76,-12.2400000000052
820870.75,101068.13,3.13000000000466
842470.75,101108.16,43.1600000000035
864070.75,101063.85,-1.14999999999418
885670.75,101082.67,17.6699999999983
907270.75,101092.2,27.1999999999971
928870.75,101093.14,28.1399999999994
950470.75,101049.68,-15.320000000007
972070.75,101072.12,7.11999999999534
993670.75,101051.33,-13.6699999999983
1015270.8,101060.98,-4.02000000000407
1036870.8,101064.98,-0.0200000000040745
1058470.8,101063.81,-1.19000000000233
1080070.8,101094.38,29.3800000000047
1101670.8,101084.09,19.0899999999965
1123270.8,101106.23,41.2299999999959
1144870.8,101051.71,-13.2899999999936
1166470.8,101066.75,1.75
1188070.8,101078.66,13.6600000000035
1209670.8,101051.22,-13.7799999999988
1231270.8,101094.03,29.0299999999988
1252870.8,101061.51,-3.49000000000524
1274470.8,101063.19,-1.80999999999767
1296070.8,101062.84,-2.16000000000349
1317670.8,101060.56,-4.44000000000233
1339270.8,101092.95,27.9499999999971
1360870.8,101050.89,-14.1100000000006
1382470.8,101080.2,15.1999999999971
1404070.8,101071.74,6.74000000000524
1425670.8,101062.02,-2.97999999999593
1447270.8,101051.16,-13.8399999999965
1468870.8,101075.64,10.6399999999994
1490470.8,101062.74,-2.25999999999476
1512070.8,101048.96,-16.0399999999936
1533670.8,101070.75,5.75
1555270.8,101091.77,26.7700000000041
1576870.8,101075.69,10.6900000000023
1598470.8,101058.99,-6.00999999999476
1620070.8,101078.07,13.070000000007
1641670.8,101060.23,-4.77000000000407
1663270.8,101078.28,13.2799999999988
1684870.8,101059.48,-5.52000000000407
1706470.8,101076.64,11.6399999999994
1728070.8,101093.44,28.4400000000023
1749670.8,101037.05,-27.9499999999971
1771270.8,101089.52,24.5200000000041
1792870.8,101068.92,3.91999999999825
1814470.8,101048.02,-16.9799999999959
1836070.8,101063.27,-1.72999999999593
1857670.8,101078.27,13.2700000000041
1879270.8,101093.06,28.0599999999977
1900870.8,101071.26,6.25999999999476
1922470.8,101049.27,-15.7299999999959
1944070.8,101063.49,-1.50999999999476
1965670.8,101077.56,12.5599999999977
1987270.8,101091.49,26.4900000000052
2008870.8,101068.9,3.89999999999418
2030470.8,101046.19,-18.8099999999977
2052070.8,101059.75,-5.25
2073670.8,101036.82,-28.179999999993
2095270.8,101050.17,-14.8300000000017
2116870.8,101063.45,-1.55000000000291
2138470.8,101076.63,11.6300000000047
2160070.8,101089.76,24.7599999999948
2181670.8,101066.41,1.41000000000349
2203270.8,101079.41,14.4100000000035
2224870.8,101092.34,27.3399999999965
2246470.8,101068.82,3.82000000000698
2268070.8,101081.65,16.6499999999942
2289670.8,101094.41,29.4100000000035
2311270.8,101070.76,5.75999999999476
2332870.8,101047.06,-17.9400000000023
2354470.8,101059.74,-5.25999999999476
2376070.8,101072.38,7.38000000000466
2397670.8,101048.58,-16.4199999999983
2419270.8,101061.15,-3.85000000000582
2440870.8,101037.32,-27.679999999993
2462470.8,101049.84,-15.1600000000035
2484070.8,101062.34,-2.66000000000349
2505670.8,101074.82,9.82000000000698
2527270.8,101050.9,-14.1000000000058
2548870.8,101063.34,-1.66000000000349
2570470.8,101075.77,10.7700000000041
2592070.8,101051.8,-13.1999999999971
2613670.8,101064.21,-0.789999999993597
2635270.8,101076.6,11.6000000000058
2656870.8,101088.99,23.9900000000052
2678470.8,101064.98,-0.0200000000040745
2700070.8,101077.34,12.3399999999965
2721670.8,101089.69,24.6900000000023
2743270.8,101065.64,0.639999999999418
2764870.8,101077.98,12.9799999999959
2786470.8,101090.31,25.3099999999977
2808070.8,101066.24,1.24000000000524
2829670.8,101078.56,13.5599999999977
2851270.8,101090.88,25.8800000000047
2872870.8,101103.19,38.1900000000023
2894470.8,101079.09,14.0899999999965
2916070.8,101091.39,26.3899999999994
2937670.8,101103.7,38.6999999999971
2959270.8,101079.59,14.5899999999965
2980870.8,101091.88,26.8800000000047
3002470.8,101104.16,39.1600000000035
3024070.8,101080.05,15.0500000000029
3045670.8,101092.34,27.3399999999965
3067270.8,101068.23,3.22999999999593
3088870.8,101080.49,15.4900000000052
3110470.8,101092.77,27.7700000000041
3132070.8,101068.64,3.63999999999942
3153670.8,101080.91,15.9100000000035
3175270.8,101093.18,28.179999999993
3196870.8,101069.06,4.05999999999767
3218470.8,101081.33,16.3300000000017
3240070.8,101093.59,28.5899999999965
3261670.8,101069.47,4.47000000000116
3283270.8,101081.73,16.7299999999959
3304870.8,101093.98,28.9799999999959
3326470.8,101069.86,4.86000000000058
3348070.8,101082.12,17.1199999999953
3369670.8,101094.36,29.3600000000006
3391270.8,101070.23,5.22999999999593
3412870.8,101046.1,-18.8999999999942
3434470.8,101094.73,29.7299999999959
3456070.8,101070.6,5.60000000000582
3477670.8,101046.47,-18.5299999999988
3499270.8,101058.73,-6.27000000000407
3520870.8,101070.98,5.97999999999593
3542470.8,101046.84,-18.1600000000035
3564070.8,101059.09,-5.91000000000349
3585670.8,101071.34,6.33999999999651
3607270.8,101047.2,-17.8000000000029
3628870.8,101059.45,-5.55000000000291
3650470.8,101071.7,6.69999999999709
3672070.8,101047.55,-17.4499999999971
3693670.8,101059.81,-5.19000000000233
3715270.8,101072.05,7.05000000000291
3736870.8,101047.91,-17.0899999999965
3758470.8,101060.16,-4.83999999999651
3780070.8,101072.41,7.41000000000349
3801670.8,101048.27,-16.7299999999959
3823270.8,101060.52,-4.47999999999593
3844870.8,101072.77,7.77000000000407
3866470.8,101048.63,-16.3699999999953
3888070.8,101060.88,-4.11999999999534
3909670.8,101036.74,-28.2599999999948
3931270.8,101048.99,-16.0099999999948
3952870.8,101061.23,-3.77000000000407
3974470.8,101037.1,-27.8999999999942
3996070.8,101049.34,-15.6600000000035
4017670.8,101061.59,-3.41000000000349
4039270.8,101037.46,-27.5399999999936
4060870.8,101049.7,-15.3000000000029
4082470.8,101061.95,-3.05000000000291
4104070.8,101037.82,-27.179999999993
4125670.8,101050.06,-14.9400000000023
4147270.8,101062.3,-2.69999999999709
4168870.8,101074.55,9.55000000000291
4190470.8,101050.42,-14.5800000000017
4212070.5,101062.66,-2.33999999999651
4233670.5,101074.91,9.91000000000349
4255270.5,101050.77,-14.2299999999959
4276870.5,101063.02,-1.97999999999593
4298470.5,101075.27,10.2700000000041
4320070.5,101051.13,-13.8699999999953
4341670.5,101063.38,-1.61999999999534
4363270.5,101075.63,10.6300000000047
4384870.5,101051.49,-13.5099999999948
4406470.5,101063.74,-1.25999999999476
4428070.5,101075.99,10.9900000000052
4449670.5,101051.85,-13.1499999999942
4471270.5,101064.1,-0.899999999994179
4492870.5,101076.35,11.3500000000058
4514470.5,101088.6,23.6000000000058
4536070.5,101064.46,-0.539999999993597
4557670.5,101076.71,11.7100000000064
4579270.5,101088.96,23.9600000000064
4600870.5,101064.82,-0.179999999993015
4622470.5,101077.07,12.070000000007
4644070.5,101089.31,24.3099999999977
4665670.5,101065.16,0.160000000003492
4687270.5,101077.41,12.4100000000035
4708870.5,101089.66,24.6600000000035
4730470.5,101065.51,0.509999999994761
4752070.5,101077.75,12.75
4773670.5,101089.99,24.9900000000052
4795270.5,101065.85,0.850000000005821
4816870.5,101078.09,13.0899999999965
4838470.5,101090.34,25.3399999999965
4860070.5,101066.2,1.19999999999709
4881670.5,101078.45,13.4499999999971
4903270.5,101090.7,25.6999999999971
4924870.5,101102.95,37.9499999999971
4946470.5,101078.8,13.8000000000029
4968070.5,101091.05,26.0500000000029
4989670.5,101103.3,38.3000000000029
5011270.5,101079.15,14.1499999999942
5032870.5,101091.4,26.3999999999942
5054470.5,101103.65,38.6499999999942
5076070.5,101079.5,14.5
5097670.5,101091.76,26.7599999999948
5119270.5,101104.01,39.0099999999948
5140870.5,101079.85,14.8500000000058
5162470.5,101092.11,27.1100000000006
5184070.5,101067.97,2.97000000000116
5205670.5,101080.21,15.2100000000064
5227270.5,101092.47,27.4700000000012
5248870.5,101068.33,3.33000000000175
5270470.5,101080.57,15.570000000007
5292070.5,101092.82,27.820000000007
5313670.5,101068.69,3.69000000000233
5335270.5,101080.94,15.9400000000023
5356870.5,101093.18,28.179999999993
5378470.5,101069.04,4.0399999999936
5400070.5,101081.3,16.3000000000029
5421670.5,101093.54,28.5399999999936
5443270.5,101069.41,4.41000000000349
5464870.5,101081.66,16.6600000000035
5486470.5,101093.9,28.8999999999942
5508070.5,101069.77,4.77000000000407
5529670.5,101082.02,17.0200000000041
5551270.5,101094.25,29.25
5572870.5,101070.11,5.11000000000058
5594470.5,101045.96,-19.0399999999936
5616070.5,101094.59,29.5899999999965
5637670.5,101070.45,5.44999999999709
5659270.5,101046.3,-18.6999999999971
5680870.5,101094.94,29.9400000000023
5702470.5,101070.79,5.7899999999936
5724070.5,101046.65,-18.3500000000058
5745670.5,101058.9,-6.10000000000582
5767270.5,101071.14,6.13999999999942
5788870.5,101046.99,-18.0099999999948
5810470.5,101059.25,-5.75
5832070.5,101071.49,6.49000000000524
5853670.5,101047.35,-17.6499999999942
5875270.5,101059.6,-5.39999999999418
5896870.5,101071.84,6.83999999999651
5918470.5,101047.7,-17.3000000000029
5940070.5,101059.95,-5.05000000000291
5961670.5,101072.2,7.19999999999709
5983270.5,101048.05,-16.9499999999971
6004870.5,101060.3,-4.69999999999709
6026470.5,101072.55,7.55000000000291
6048070.5,101048.41,-16.5899999999965
6069670.5,101060.65,-4.35000000000582
6091270.5,101036.52,-28.4799999999959
6112870.5,101048.77,-16.2299999999959
6134470.5,101061.01,-3.99000000000524
6156070.5,101036.88,-28.1199999999953
6177670.5,101049.13,-15.8699999999953
6199270.5,101061.37,-3.63000000000466
6220870.5,101037.23,-27.7700000000041
6242470.5,101049.48,-15.5200000000041
6264070.5,101061.73,-3.27000000000407
6285670.5,101037.59,-27.4100000000035
6307270.5,101049.84,-15.1600000000035
6328870.5,101062.09,-2.91000000000349
6350470.5,101074.34,9.33999999999651
6372070.5,101050.2,-14.8000000000029
6393670.5,101062.45,-2.55000000000291
6415270.5,101074.7,9.69999999999709
6436870.5,101050.55,-14.4499999999971
6458470.5,101062.79,-2.2100000000064
6480070.5,101075.03,10.0299999999988
6501670.5,101050.89,-14.1100000000006
6523270.5,101063.13,-1.86999999999534
6544870.5,101075.38,10.3800000000047
6566470.5,101051.23,-13.7700000000041
6588070.5,101063.48,-1.52000000000407
6609670.5,101075.72,10.7200000000012
6631270.5,101051.58,-13.4199999999983
6652870.5,101063.82,-1.17999999999302
6674470.5,101076.07,11.070000000007
6696070.5,101051.93,-13.070000000007
6717670.5,101064.17,-0.830000000001746
6739270.5,101076.41,11.4100000000035
6760870.5,101088.66,23.6600000000035
6782470.5,101064.52,-0.479999999995925
6804070.5,101076.77,11.7700000000041
6825670.5,101089.02,24.0200000000041
6847270.5,101064.88,-0.119999999995343
6868870.5,101077.13,12.1300000000047
6890470.5,101089.37,24.3699999999953
6912070.5,101065.23,0.229999999995925
6933670.5,101077.48,12.4799999999959
6955270.5,101089.73,24.7299999999959
6976870.5,101065.59,0.589999999996508
6998470.5,101077.84,12.8399999999965
7020070.5,101090.09,25.0899999999965
7041670.5,101065.95,0.94999999999709
7063270.5,101078.2,13.1999999999971
7084870.5,101090.45,25.4499999999971
7106470.5,101066.3,1.30000000000291
7128070.5,101078.55,13.5500000000029
7149670.5,101090.8,25.8000000000029
7171270.5,101103.05,38.0500000000029
7192870.5,101078.91,13.9100000000035
7214470.5,101091.16,26.1600000000035
7236070.5,101103.41,38.4100000000035
7257670.5,101079.27,14.2700000000041
7279270.5,101091.52,26.5200000000041
7300870.5,101103.78,38.7799999999988
7322470.5,101079.63,14.6300000000047
7344070.5,101091.87,26.8699999999953
7365670.5,101104.12,39.1199999999953
