"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
10.6151,101064.85,-0.149999999994179
26.921801,101065.41,0.410000000003492
42.767799,101067.76,2.75999999999476
67.881798,101064.08,-0.919999999998254
107.6848,101058.25,-6.75
170.76781,101067.63,2.63000000000466
270.7468,101082.48,17.4799999999959
370.7468,101067.75,2.75
470.7468,101053.09,-11.9100000000035
570.74683,101038.49,-26.5099999999948
670.74683,101053.49,-11.5099999999948
770.74683,101068.45,3.44999999999709
870.74683,101083.34,18.3399999999965
970.74683,101068.61,3.61000000000058
1070.7468,101053.94,-11.0599999999977
1170.7468,101039.33,-25.6699999999983
1270.7468,101054.39,-10.6100000000006
1370.7468,101069.39,4.38999999999942
1470.7468,101084.34,19.3399999999965
1570.7468,101069.6,4.60000000000582
1670.7468,101054.91,-10.0899999999965
1770.7468,101040.3,-24.6999999999971
1870.7468,101055.41,-9.58999999999651
1970.7468,101070.47,5.47000000000116
2070.7468,101085.48,20.4799999999959
2170.7468,101070.72,5.72000000000116
2270.7468,101056.02,-8.97999999999593
2370.7468,101041.39,-23.6100000000006
2470.7468,101056.55,-8.44999999999709
2570.7468,101071.66,6.66000000000349
2670.7468,101086.73,21.7299999999959
2770.7468,101071.95,6.94999999999709
2870.7468,101057.24,-7.75999999999476
2970.7468,101042.59,-22.4100000000035
3070.7468,101057.81,-7.19000000000233
3170.7468,101072.98,7.97999999999593
3270.7468,101088.09,23.0899999999965
3370.7468,101073.3,8.30000000000291
3470.7468,101058.58,-6.41999999999825
3570.7468,101043.92,-21.0800000000017
3670.7468,101059.19,-5.80999999999767
3770.7468,101074.41,9.41000000000349
3870.7468,101089.56,24.5599999999977
3970.7468,101074.76,9.75999999999476
4070.7468,101060.02,-4.97999999999593
4170.7466,101045.34,-19.6600000000035
4270.7466,101060.66,-4.33999999999651
4370.7466,101075.93,10.929999999993
4470.7466,101091.14,26.1399999999994
4570.7466,101076.32,11.320000000007
4670.7466,101061.56,-3.44000000000233
